 * Running on http://10.78.11.207:8443/ (Press CTRL+C to quit)
10.22.6.149 - - [05/Jul/2018 17:17:18] "POST /login HTTP/1.1" 500 -
10.22.6.149 - - [05/Jul/2018 17:17:18] "GET /favicon.ico HTTP/1.1" 301 -
10.22.6.149 - - [05/Jul/2018 17:17:18] "GET /favicon.ico/ HTTP/1.1" 500 -
10.22.6.149 - - [05/Jul/2018 17:17:20] "GET /login HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:21] "GET /static/css/materialize.min.css HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:21] "GET /static/images/icon2.png HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:21] "GET /static/css/login.css HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:21] "GET /static/js/jquery-3.2.1.js HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:21] "GET /static/js/materialize.min.js HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:21] "GET /static/js/tilt.jquery.min.js HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:21] "GET /static/js/string.js HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:21] "GET /favicon.ico HTTP/1.1" 301 -
10.22.6.149 - - [05/Jul/2018 17:17:21] "GET /favicon.ico/ HTTP/1.1" 500 -
10.22.6.149 - - [05/Jul/2018 17:17:25] "POST /login HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:25] "GET /static/css/materialize.css HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:25] "GET /static/css/after_login.css HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:25] "GET /static/js/jquery-3.2.1.js HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:25] "GET /static/js/materialize.min.js HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:25] "GET /static/js/tilt.jquery.min.js HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:25] "GET /static/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:25] "GET /static/fonts/roboto/Roboto-Medium.woff2 HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:25] "GET /favicon.ico HTTP/1.1" 301 -
10.22.6.149 - - [05/Jul/2018 17:17:25] "GET /favicon.ico/ HTTP/1.1" 500 -
10.22.6.149 - - [05/Jul/2018 17:17:29] "POST /start HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:32] "POST /start HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:34] "POST /start HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:38] "POST /stop HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:42] "POST /stop HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:47] "POST /stop HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:17:55] "POST /start HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:21:22] "GET /login HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:21:22] "GET /favicon.ico/ HTTP/1.1" 500 -
10.22.6.149 - - [05/Jul/2018 17:21:49] "POST /login HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:21:49] "GET /favicon.ico/ HTTP/1.1" 500 -
10.22.6.149 - - [05/Jul/2018 17:21:55] "POST /start HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:22:02] "POST /stop HTTP/1.1" 200 -
10.22.6.149 - - [05/Jul/2018 17:22:12] "POST /start HTTP/1.1" 200 -
